Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Greens Farms B",180,1,8,1,90,10.00,South Side B,30,0,1,0,20,20.00,20
"
Kings Park A",325,2,9,3,220,20.00,Middlesex Middle B,190,3,4,3,120,17.14,20
"
Ward Melville A",370,2,8,0,260,26.00,Eastchester,240,4,4,4,160,20.00,20
"
Greens Farms A",265,3,7,4,170,17.00,Wilton,170,0,7,0,100,14.29,20
"
Hightstown",325,6,5,3,200,18.18,Bronx Science,240,4,3,2,160,22.86,20
"
North Babylon B",80,0,6,2,30,5.00,Half Hollow Hills East,0,0,1,2,0,0.00,20
"
Kings Park B",220,2,9,0,100,9.09,Ward Melville B,155,2,4,3,100,16.67,20
"
Livingston A",265,3,6,2,170,18.89,North Babylon A,210,1,7,1,130,16.25,20
"
Heritage Middle A",270,0,11,2,170,15.45,Livingston B,235,2,6,1,150,18.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",615,11,7,0,380,21.11,North Babylon A,60,2,0,2,40,20.00,20
"
Hastings",590,11,6,1,370,21.76,Kings Park A,95,0,3,1,70,23.33,20
"
Hightstown",575,10,6,1,370,23.12,Middlesex Middle B,105,0,4,1,70,17.50,20
"
Greens Farms A",450,5,10,1,280,18.67,Ward Melville B,110,1,3,1,70,17.50,20
"
Middlesex Middle A",415,7,8,2,240,16.00,Bronx Science,105,1,4,4,70,14.00,20
"
Heritage Middle A",370,9,4,1,200,15.38,Hopkins,130,0,5,2,90,18.00,20
"
Kings Park C",275,2,11,1,140,10.77,South Side B,60,1,2,3,40,13.33,20
"
Darien B",335,2,10,1,210,17.50,Wilton,210,3,4,1,130,18.57,20
"
Greens Farms B",160,1,7,3,90,11.25,Half Hollow Hills East,45,0,4,3,20,5.00,20
"
Heritage Middle B",315,3,9,0,180,15.00,Livingston B,210,3,4,1,130,18.57,20
"
Kings Park B",265,2,8,1,160,16.00,Half Hollow Hills West,190,1,9,1,90,9.00,20
"
Kellenberg",295,4,4,1,200,25.00,Ward Melville A,260,2,8,4,170,17.00,20
"
North Babylon B (OT)",120,1,5,1,60,12.00,Kings Park D,110,0,8,0,30,3.75,21
"
Livingston A",330,5,5,1,210,21.00,Eastchester,320,6,4,2,200,20.00,20
"
Great Neck South",200,3,6,1,100,11.11,South Side A,195,3,6,0,90,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",440,6,8,2,280,20.00,Livingston A,155,2,4,3,100,16.67,20
"
Eastchester",435,7,6,0,270,20.77,Kellenberg,175,3,3,0,100,16.67,20
"
Heritage Middle A",385,7,5,0,230,19.17,Heritage Middle B,125,3,2,0,60,12.00,20
"
Kings Park C",260,1,6,1,190,27.14,Half Hollow Hills East,20,0,1,0,10,10.00,20
"
Hastings",425,7,5,2,280,23.33,Bronx Science,205,2,5,1,130,18.57,20
"
Half Hollow Hills West",295,1,11,0,170,14.17,Ward Melville B,125,2,5,1,50,7.14,20
"
Greens Farms A",335,5,6,2,210,19.09,Darien B,245,1,8,0,150,16.67,20
