Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",335,5,5,4,230,23.00,Mather A,280,3,6,1,180,20.00,20
"
Berwick B",175,1,6,2,110,15.71,John P. Stevens B,125,1,6,2,60,8.57,20
"
Biotech A",300,6,4,2,180,18.00,Hastings B,265,2,8,1,160,16.00,20
"
Ridgewood A",245,3,6,2,150,16.67,Hunter B,215,2,6,1,130,16.25,20
"
West Windsor-Plainsboro North",335,10,1,1,180,16.36,Wilmington Charter,325,5,4,0,210,23.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
High Tech A",465,7,7,2,300,21.43,John P. Stevens A,115,3,1,0,60,15.00,20
"
Edison Academy",440,4,10,2,290,20.71,Hunter B,135,2,3,1,80,16.00,20
"
Eastchester",425,4,9,1,280,21.54,Hastings B,175,2,4,1,110,18.33,20
"
Biotech B",335,3,10,2,200,15.38,Berwick B,95,0,5,1,50,10.00,20
"
Livingston B",335,2,10,3,220,18.33,Edison B,115,0,5,3,80,16.00,20
"
Mather A",415,7,5,2,270,22.50,Wilmington Charter,200,2,6,2,120,15.00,20
"
Livingston A",380,6,6,2,240,20.00,West Windsor-Plainsboro North,220,4,4,4,140,17.50,20
"
High Tech B",330,2,10,4,220,18.33,Ridgewood A,190,0,8,2,120,15.00,20
"
Hunter A",360,5,5,1,240,24.00,Mather B,285,5,4,0,170,18.89,20
"
Livingston C",215,2,8,1,110,11.00,Berwick A,150,2,5,2,80,11.43,20
"
Moravian Academy",260,4,5,4,170,18.89,Mather C,200,3,5,3,120,15.00,20
"
Montgomery Blair",360,4,7,2,240,21.82,Hastings A,300,4,5,2,200,22.22,20
"
Ridgewood B",145,2,6,3,70,8.75,John P. Stevens B,120,0,6,2,70,11.67,20
"
Biotech A",275,3,6,2,180,20.00,Edison A,270,2,8,4,180,18.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",435,10,2,1,270,22.50,Hunter A,285,4,4,1,190,23.75,20
"
Montgomery Blair",380,7,4,1,240,21.82,Mather A,315,6,3,1,200,22.22,20
