"
Livingston B",310,1,10,3,210,19.09,Darien B,200,1,7,1,120,15.00,20
"
Wilton",350,3,9,1,220,18.33,Wissahickon,270,3,5,1,180,22.50,20
"
Kellenberg",305,3,7,2,200,20.00,Princeton High,275,1,9,2,180,18.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",485,8,6,5,330,23.57,Great Neck North,35,1,1,0,10,5.00,20
"
Darien A",475,4,12,3,310,19.38,West Essex,25,0,2,1,10,5.00,20
"
Hastings A",495,5,10,2,330,22.00,Clarke,70,1,2,1,40,13.33,20
"
Belmont",505,6,7,5,370,28.46,Livingston D,110,0,4,0,70,17.50,20
"
Wilton",395,1,11,2,280,23.33,Port Jefferson,135,2,5,3,70,10.00,20
"
Wissahickon",370,5,6,3,250,22.73,North Quincy,250,1,7,1,170,21.25,20
"
Darien B",275,1,11,0,150,12.50,Hopkins,170,3,4,5,110,15.71,20
"
Kellenberg",285,1,11,0,160,13.33,Scarsdale,195,2,5,5,140,20.00,20
"
Livingston C",270,3,6,1,170,18.89,Princeton High,185,3,6,4,100,11.11,20
"
Livingston B",300,5,4,5,210,23.33,Hastings B,255,2,7,1,160,17.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
North Quincy",400,5,9,3,250,17.86,Great Neck North,50,0,3,4,40,13.33,20
"
Port Jefferson",310,1,11,5,210,17.50,Clarke,85,1,4,0,30,6.00,20
"
Livingston A",475,7,5,2,330,27.50,Wissahickon,290,5,3,1,190,23.75,20
"
Livingston B",335,6,5,3,210,19.09,Kellenberg,160,1,7,1,80,10.00,20
"
Hastings A",370,4,7,0,240,21.82,Wilton,255,6,2,1,150,18.75,20
"
Princeton High",280,3,6,3,190,21.11,Darien B,200,2,7,0,100,11.11,20
"
Hopkins",285,1,10,2,180,16.36,Livingston C,270,4,5,0,160,17.78,20
"
Scarsdale",285,1,8,2,200,22.22,Hastings B,270,2,8,2,170,17.00,20
"
Belmont",335,4,6,1,220,22.00,Darien A,325,6,4,3,210,21.00,20
"
Livingston D",125,1,6,4,70,10.00,West Essex,115,0,7,1,50,7.14,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",505,5,8,2,360,27.69,Port Jefferson,100,3,2,3,50,10.00,20
"
Wissahickon",495,3,12,2,340,22.67,Scarsdale,105,1,4,6,80,16.00,20
"
Hastings B",425,2,12,1,280,20.00,West Essex,55,1,3,0,10,2.50,20
"
North Quincy",390,1,13,3,260,18.57,Clarke,55,0,3,3,40,13.33,20
"
Wilton",415,3,12,0,250,16.67,Great Neck North,105,2,2,3,70,17.50,20
"
Belmont",425,6,6,3,290,24.17,Kellenberg,145,2,3,1,90,18.00,20
"
Princeton High",300,3,8,5,200,18.18,Livingston D,165,0,7,1,100,14.29,20
"
Hastings A",365,5,5,0,240,24.00,Livingston B,275,5,4,2,170,18.89,20
"
Darien A",330,4,6,2,220,22.00,Hopkins,300,6,3,2,190,21.11,20
"
Livingston C",260,0,9,2,180,20.00,Darien B,235,1,9,3,145,14.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien B",380,3,10,1,240,18.46,Port Jefferson,150,1,6,3,90,12.86,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hastings A",495,6,8,1,330,23.57,Kellenberg,110,1,4,5,80,16.00,20
"
Livingston B",465,5,10,4,310,20.67,Hastings B,100,1,3,3,70,17.50,21
"
Livingston A",540,7,9,5,370,23.12,Darien B,180,1,5,1,120,20.00,24
"
Belmont",480,5,9,1,320,22.86,Great Neck North,185,1,5,4,140,23.33,21
"
Darien A",440,6,7,2,290,22.31,Hopkins,210,5,1,1,130,21.67,21
"
Wissahickon",405,5,8,2,260,20.00,Scarsdale,180,0,7,2,120,17.14,21
"
Princeton High",325,1,11,0,200,16.67,Livingston C,210,2,5,2,140,20.00,20
"
Wilton",380,5,7,1,240,20.00,North Quincy,295,2,7,5,220,24.44,23
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont",510,6,10,2,330,20.62,Livingston B,135,1,4,2,90,18.00,23
"
Livingston A",470,9,3,5,330,27.50,Princeton High,255,4,5,1,150,16.67,24
"
Darien A",430,8,5,2,270,20.77,Hastings A,255,4,5,3,160,17.78,23
"
Scarsdale",240,2,7,2,150,16.67,North Quincy,115,1,4,2,70,14.00,15
"
Kellenberg",280,4,6,0,160,16.00,Hopkins,250,3,6,3,160,17.78,21
"
Wissahickon",315,2,8,1,210,21.00,Wilton,285,3,6,2,190,21.11,20
"
Hastings B",260,1,11,1,140,11.67,Great Neck North,230,2,6,2,150,18.75,20
"
Livingston C",240,0,10,2,150,15.00,Darien B,215,2,6,1,130,16.25,19
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",530,6,7,4,390,30.00,Wissahickon,310,4,6,2,200,20.00,24
"
Darien A",395,6,5,1,260,23.64,Belmont,305,5,4,2,200,22.22,20
"
Hastings A",345,2,9,3,240,21.82,Kellenberg,255,4,4,1,160,20.00,19
"
Wilton",280,3,7,3,180,18.00,Scarsdale,205,3,5,4,130,16.25,19
