Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Darien A",570,5,12,1,380,22.35,Pingry,25
"
Hunter B",555,10,5,1,360,24.00,Princeton High,50
"
Hastings A",540,6,9,2,370,24.67,East Brunswick B,90
"
Hunter A",470,3,12,3,320,21.33,John P. Stevens A,90
"
Wilmington Charter",395,1,14,0,240,16.00,Atlantic City,40
"
East Brunswick A",450,6,9,0,270,18.00,Ranney A,135
"
Eastchester",430,5,9,1,270,19.29,Mountain Lakes C,160
"
Biotech A",405,4,10,3,260,18.57,Biotech B,145
"
Edison Academy",315,2,11,1,180,13.85,Livingston F,85
"
Livingston C",400,2,11,0,260,20.00,Ridgewood A,170
"
Hastings B",385,6,6,1,240,20.00,Bronx Science,165
"
East Brunswick C",290,0,13,0,160,12.31,Hunter C,70
"
Ridgewood B",215,0,9,1,130,14.44,Westfield,40
"
Darien B",360,3,10,3,230,17.69,Peddie,195
"
Livingston E",230,2,7,2,140,15.56,Livingston J,70
"
St. Peter's Prep",270,1,10,3,170,15.45,Ranney B,110
"
Bloomfield",205,0,12,1,90,7.50,East Brunswick E,50
"
Mountain Lakes A",345,2,9,1,230,20.91,Watchung Hills,210
"
Edison A",405,7,4,2,270,24.55,Livingston B,275
"
West Essex A",205,2,6,1,120,15.00,Livingston G,85
"
Livingston H",240,1,9,1,140,14.00,West Essex B,130
"
John P. Stevens B",250,2,8,2,150,15.00,Randolph,145
"
Seton Hall Prep B",180,2,6,2,100,12.50,Seton Hall Prep A,80
"
Leonia",160,3,5,5,90,11.25,Jonathan Dayton A,90
"
Jonathan Dayton B",175,2,7,5,100,11.11,Immaculata,110
"
Bergen Academies",240,1,9,1,140,14.00,Livingston D,185
"
Mountain Lakes B",205,3,7,4,110,11.00,East Brunswick D,155
"
Choate",245,6,3,1,130,14.44,Heritage Middle B,200
"
Morristown-Beard",140,1,6,3,80,11.43,Livingston I,100
"
Hightstown A",285,3,6,2,190,21.11,Heritage Middle A,250
"
West Windsor-Plainsboro North",155,0,8,1,80,10.00,Edison B,135
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Darien A",455,3,11,0,300,21.43,Bergen Academies,125
"
Ranney A",375,3,11,2,230,16.43,Hightstown B,55
"
East Brunswick C",260,1,9,1,160,16.00,Atlantic City,35
"
Bronx Science",300,1,10,1,190,17.27,John P. Stevens A,80
"
Livingston A",405,6,5,3,280,25.45,East Brunswick A,200
"
Livingston B",350,5,6,3,230,20.91,Peddie,175
"
Livingston H",220,1,9,1,120,12.00,Westfield,45
"
Ridgewood A",315,1,11,2,200,16.67,Watchung Hills,145
"
Eastchester",350,3,9,1,220,18.33,Biotech A,185
"
Hunter A",380,3,9,3,260,21.67,Hastings B,215
"
Biotech B",305,0,12,5,210,17.50,Mountain Lakes C,145
"
Livingston I",240,0,10,0,140,14.00,Jonathan Dayton A,80
"
Hastings A",375,7,4,0,230,20.91,Hunter B,235
"
Livingston E",200,1,8,5,130,14.44,East Brunswick E,95
"
West Windsor-Plainsboro North",210,2,9,2,100,9.09,Bloomfield,110
"
Wilmington Charter",255,1,11,0,130,10.83,Heritage Middle B,160
"
Choate",200,1,8,5,130,14.44,Hunter C,115
"
Edison B",190,1,5,3,140,23.33,Livingston J,120
"
East Brunswick D",240,2,8,4,150,15.00,Seton Hall Prep A,180
"
Ranney B",145,0,7,1,80,11.43,Seton Hall Prep B,90
"
Livingston D",220,1,8,1,130,14.44,Pingry,165
"
East Brunswick B",260,1,9,3,170,17.00,Princeton High,215
"
Mountain Lakes A",295,2,6,3,220,27.50,Livingston C,260
"
Randolph",175,0,8,1,100,12.50,Leonia,140
"
Edison A",295,4,6,3,190,19.00,Darien B,270
"
Mountain Lakes B",215,0,9,1,130,14.44,St. Peter's Prep,195
"
Immaculata",160,0,8,0,80,10.00,Livingston G,140
"
John P. Stevens B",150,1,7,5,90,11.25,Morristown-Beard,135
"
Hightstown A",255,3,6,4,170,18.89,Edison Academy,250
"
Heritage Middle A",215,0,9,3,140,15.56,Livingston F,210
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Livingston B",425,3,11,4,290,20.71,Pingry,65
"
Hunter A",495,6,9,1,320,21.33,Mountain Lakes A,150
"
Livingston A",510,9,5,3,340,24.29,Hightstown A,175
"
Darien B",415,3,10,4,290,22.31,Bergen Academies,120
"
Heritage Middle B",300,1,11,3,190,15.83,Atlantic City,20
"
Hunter B",410,6,8,4,260,18.57,Biotech A,140
"
St. Peter's Prep",285,4,8,1,150,12.50,Seton Hall Prep B,50
"
Heritage Middle A",305,3,9,2,180,15.00,Hightstown B,85
"
Ridgewood A",315,4,7,1,190,17.27,Bronx Science,110
"
Bloomfield",245,0,10,1,150,15.00,Livingston E,60
"
Randolph",250,0,13,0,120,9.23,Jonathan Dayton A,70
"
Princeton High",330,3,8,1,210,19.09,Biotech B,160
"
Ranney A",290,2,9,2,180,16.36,Livingston F,125
"
West Windsor-Plainsboro North",210,1,8,1,120,13.33,Livingston J,45
"
Livingston D",285,1,11,0,160,13.33,Peddie,180
"
Seton Hall Prep A",225,1,8,2,140,15.56,Mountain Lakes B,135
"
Hastings A",345,5,5,4,240,24.00,Eastchester,270
"
Westfield",120,0,7,2,60,8.57,West Essex B,60
"
Darien A",305,3,7,2,200,20.00,Edison A,255
"
Watchung Hills",205,1,9,4,120,12.00,John P. Stevens A,165
"
Hastings B",340,4,6,0,220,22.00,Livingston C,305
"
Choate",220,3,6,3,130,14.44,East Brunswick C,190
"
Immaculata",145,1,7,0,60,7.50,West Essex A,120
"
Edison Academy",255,2,8,1,150,15.00,East Brunswick A,235
"
East Brunswick D",160,2,6,4,90,11.25,Ranney B,140
"
East Brunswick B",245,3,7,2,140,14.00,Mountain Lakes C,230
"
Livingston I",155,0,7,3,100,14.29,John P. Stevens B,140
"
Hunter C",200,0,9,0,110,12.22,Wilmington Charter,190
"
Leonia",150,1,7,3,80,10.00,Morristown-Beard,145
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Livingston B",390,5,8,5,260,20.00,Livingston D,90
"
Heritage Middle B",380,3,10,1,240,18.46,Hunter C,100
"
Morristown-Beard",205,1,9,0,100,10.00,Jonathan Dayton A,15
"
Hunter B",355,5,6,6,250,22.73,Edison Academy,180
"
Randolph",215,0,9,3,140,15.56,Livingston I,65
"
Ridgewood A",285,1,11,2,170,14.17,John P. Stevens A,155
"
Hastings B",310,4,6,2,200,20.00,Bergen Academies,195
"
Edison B",180,1,9,1,80,8.00,East Brunswick E,70
"
Choate",205,2,8,5,120,12.00,Atlantic City,95
"
Bronx Science",280,3,7,1,170,17.00,Watchung Hills,170
"
Darien B",310,6,4,4,200,20.00,Livingston C,200
"
Princeton High",260,2,8,4,170,17.00,Mountain Lakes C,160
"
Ridgewood B",180,1,7,5,120,15.00,West Essex B,80
"
Ranney B",260,2,8,0,150,15.00,Seton Hall Prep A,165
"
West Essex A",215,1,7,0,130,16.25,Jonathan Dayton B,130
"
John P. Stevens B",185,0,8,1,110,13.75,Leonia,105
"
Ranney A",285,2,8,1,180,18.00,Heritage Middle A,215
"
Mountain Lakes B",170,2,5,2,100,14.29,Seton Hall Prep B,125
"
East Brunswick A",320,1,9,1,220,22.00,Biotech A,275
"
Biotech B",250,4,4,2,160,20.00,East Brunswick B,210
"
Livingston A",395,10,1,3,250,22.73,Hastings A,355
"
Hunter A",330,7,3,1,200,20.00,Darien A,290
"
Hightstown B",170,3,5,1,80,10.00,Livingston F,135
"
St. Peter's Prep",160,0,8,4,100,12.50,East Brunswick D,125
"
Edison A",145,3,2,0,80,16.00,Eastchester,130
"
Pingry",190,2,7,2,100,11.11,Peddie,180
"
Hightstown A",315,3,8,2,200,18.18,Mountain Lakes A,305
"
East Brunswick C",220,2,7,0,120,13.33,Wilmington Charter,215
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Hunter B",450,6,7,2,300,23.08,East Brunswick A,85
"
Edison A",470,6,9,2,300,20.00,Hightstown A,105
"
Livingston B",440,7,7,3,280,20.00,John P. Stevens A,80
"
East Brunswick C",280,2,8,2,180,18.00,Heritage Middle B,100
"
John P. Stevens B",240,1,9,3,150,15.00,Jonathan Dayton A,75
"
Ridgewood B",210,2,8,2,110,11.00,Livingston H,50
"
Bloomfield",210,1,8,1,120,13.33,Edison B,55
"
Livingston C",310,6,5,2,180,16.36,Bergen Academies,165
"
Bronx Science",295,3,7,2,190,19.00,Peddie,165
"
Livingston J",170,1,8,1,80,8.89,East Brunswick E,50
"
Biotech A",290,4,6,4,190,19.00,Edison Academy,170
"
Mountain Lakes A",335,5,5,2,220,22.00,Eastchester,215
"
Biotech B",235,2,8,3,140,14.00,Livingston F,125
"
Watchung Hills",245,2,8,3,150,15.00,Pingry,145
"
Ridgewood A",255,4,6,3,150,15.00,Livingston D,155
"
East Brunswick B",235,5,3,2,140,17.50,Hightstown B,135
"
St. Peter's Prep",230,3,6,3,140,15.56,Seton Hall Prep A,155
"
Ranney B",205,1,7,0,120,15.00,Mountain Lakes B,130
"
Leonia",200,1,9,3,110,11.00,Livingston I,125
"
Princeton High",290,4,7,2,170,15.45,Ranney A,245
"
Wilmington Charter",240,3,7,3,140,14.00,Choate,205
"
Livingston E",150,1,7,5,90,11.25,West Windsor-Plainsboro North,115
"
Jonathan Dayton B",145,1,7,2,70,8.75,Livingston G,110
"
East Brunswick D",160,2,5,2,90,12.86,Seton Hall Prep B,135
"
Hastings B",265,3,6,2,170,18.89,Darien B,250
"
Darien A",315,3,8,2,200,18.18,Hastings A,300
"
Morristown-Beard (OT)",165,1,8,2,80,10.00,Randolph,155
"
Heritage Middle A",Forfeit, , , , , ,Mountain Lakes C,Forfeit
"
Hunter C",Forfeit, , , , , ,Atlantic City,Forfeit
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Livingston A",570,10,5,0,370,24.67,Hunter A,165
