Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",415,9,3,2,260,21.67,Greens Farms A,215,5,2,0,120,17.14,20
"
South Side B",255,2,9,1,140,12.73,Kings Park C,55,0,3,1,30,10.00,20
"
North Babylon A",365,7,4,0,220,20.00,High Tech B,190,3,3,3,130,21.67,20
"
Kellenberg A",400,9,2,1,250,22.73,Middlesex Middle A,230,5,3,1,130,16.25,20
"
High Tech A",425,9,2,2,280,25.45,Staples,270,6,2,2,170,21.25,20
"
Kellenberg B",260,1,9,1,160,16.00,South Side A,105,2,2,1,60,15.00,20
"
Stuyvesant",355,5,7,2,220,18.33,Hastings B,205,3,4,2,130,18.57,20
"
Seton Hall Prep A",275,3,7,2,170,17.00,Great Neck South,145,0,7,1,80,11.43,20
"
Darien D",325,5,5,0,200,20.00,Seton Hall Prep B,210,4,3,2,130,18.57,20
"
Livingston B",365,5,4,0,250,27.78,Hopkins,315,8,2,3,190,19.00,20
"
Clarke",290,2,6,0,200,25.00,Kings Park A,250,6,2,4,160,20.00,20
"
Middlesex Middle B",305,3,8,0,180,16.36,Darien C,280,5,3,1,180,22.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien B",460,8,5,6,320,24.62,Kings Park A,140,3,2,1,80,16.00,20
"
Livingston A",485,10,4,1,300,21.43,Darien A,215,3,3,2,150,25.00,20
"
Bronx Science",395,7,6,2,240,18.46,Kellenberg A,155,1,4,2,110,22.00,20
"
Kings Park B",295,4,7,3,180,16.36,Great Neck South,110,0,5,0,60,12.00,20
"
High Tech A",435,9,2,2,290,26.36,Woodland,255,6,2,1,150,18.75,20
"
Middlesex Middle A",380,7,5,3,240,20.00,Greens Farms A,215,4,3,1,130,18.57,20
"
Stuyvesant",295,2,9,5,200,18.18,Middlesex Middle B,155,3,4,4,90,12.86,20
"
High Tech B",285,3,9,4,170,14.17,Greens Farms B,150,2,4,2,90,15.00,20
"
Clarke",305,2,8,1,200,20.00,North Babylon A,170,2,5,6,120,17.14,20
"
Kellenberg B",245,1,10,2,140,12.73,Kings Park D,115,0,5,1,70,14.00,20
"
High Tech C",220,1,8,1,130,14.44,Kings Park C,95,0,6,1,40,6.67,20
"
Seton Hall Prep A",195,2,6,5,130,16.25,South Side A,100,1,4,3,60,12.00,20
"
Hopkins",340,5,6,3,220,20.00,Mountain Lakes,250,1,8,1,160,17.78,20
"
Darien C",255,3,6,2,160,17.78,Port Jefferson,170,3,5,7,110,13.75,20
"
Staples",355,7,3,4,240,24.00,Livingston B,275,4,5,1,170,18.89,20
"
South Side B",140,1,7,1,60,7.50,North Babylon B,80,0,4,0,40,10.00,20
"
Hastings B",280,5,4,1,170,18.89,Hastings A,230,3,6,7,160,17.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
High Tech A",510,11,3,3,330,23.57,Livingston B,120,2,4,2,60,10.00,20
"
Darien B",545,9,5,2,370,26.43,Clarke,185,3,3,0,110,18.33,20
"
Darien C",420,6,10,0,230,14.38,Hastings B,65,1,3,0,20,5.00,20
"
Livingston A",455,8,5,1,290,22.31,Kellenberg A,180,3,3,1,110,18.33,20
"
North Babylon A",365,4,9,3,230,17.69,Greens Farms B,120,1,5,1,60,10.00,20
"
Darien D",255,2,11,1,120,9.23,South Side B,35,0,1,1,30,30.00,20
"
High Tech B",330,4,8,0,190,15.83,Kings Park A,165,1,5,0,100,16.67,20
"
Great Neck South",225,1,10,0,110,10.00,Kings Park D,95,0,5,1,50,10.00,20
"
Kellenberg B",235,1,7,0,150,18.75,Seton Hall Prep A,105,0,5,5,80,16.00,20
"
Staples",335,6,5,3,210,19.09,Mountain Lakes,220,3,3,3,160,26.67,20
"
Kings Park B",205,3,6,2,110,12.22,South Side A,120,1,5,1,60,10.00,20
"
Hopkins",345,5,5,2,230,23.00,Woodland,265,5,3,2,170,21.25,20
"
Kings Park C",120,1,6,1,50,7.14,North Babylon B,50,0,3,0,20,6.67,20
"
Darien A",350,6,5,2,220,20.00,Middlesex Middle A,295,5,4,2,190,21.11,20
"
Seton Hall Prep B",160,4,5,0,50,5.56,High Tech C,105,4,1,3,50,10.00,20
"
Bronx Science",295,5,5,2,180,18.00,Greens Farms A,250,3,5,3,170,21.25,20
"
Hastings A",260,6,2,4,170,21.25,Stuyvesant,220,3,5,1,130,16.25,20
"
Middlesex Middle B",175,0,8,1,100,12.50,Port Jefferson,165,4,4,5,90,11.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",490,7,6,1,330,25.38,Greens Farms A,180,5,2,5,110,15.71,20
"
Darien B",400,7,5,5,270,22.50,North Babylon A,105,1,3,4,80,20.00,20
"
Kings Park A",340,2,9,2,230,20.91,Greens Farms B,70,0,3,2,50,16.67,20
