Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",385,9,1,4,260,26.00,Edgemont A,295,5,3,0,190,23.75,20
"
Horace Greeley A",290,2,7,4,210,23.33,Ardsley,210,3,4,1,130,18.57,20
"
King School Stamford A",335,1,10,2,230,20.91,Ridgewood B,260,4,3,2,180,25.71,20
"
Darien B",380,4,6,2,270,27.00,Bronx Science,320,5,4,1,210,23.33,20
"
Livingston D",330,4,6,0,210,21.00,North Babylon A,295,1,8,2,210,23.33,20
"
Darien C",340,3,7,1,230,23.00,Ridgewood A,310,4,4,4,230,28.75,20
"
Edgemont B",255,2,7,3,170,18.89,West Windsor-Plainsboro North B,245,0,9,1,160,17.78,20
"
Scarsdale A",330,5,5,1,210,21.00,West Windsor-Plainsboro North A,325,6,3,3,220,24.44,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ridgewood B",445,3,12,0,280,18.67,North Babylon B,60,0,3,0,30,10.00,20
"
Wilton",520,9,5,1,340,24.29,Scarsdale A,190,2,4,2,130,21.67,20
"
Darien B",520,7,6,1,360,27.69,Livingston B,205,3,3,2,140,23.33,20
"
Scarsdale B",365,4,8,1,230,19.17,Leonia B,65,0,4,1,30,7.50,20
"
Darien A",430,7,5,1,280,23.33,Staples,205,3,5,6,140,17.50,20
"
Horace Greeley A",370,6,4,2,250,25.00,Darien C,145,2,3,1,90,18.00,20
"
Livingston A",470,7,4,1,330,30.00,Bronx Science,270,5,3,1,170,21.25,20
"
Ridgewood A",395,3,8,0,270,24.55,North Babylon A,200,2,5,0,120,17.14,20
"
King School Stamford B",245,2,8,3,150,15.00,Horace Greeley B,65,2,1,1,30,10.00,20
"
King School Stamford A",350,3,9,1,220,18.33,Livingston C,185,0,6,3,140,23.33,20
"
Livingston D",325,1,9,2,230,23.00,Ardsley,185,3,4,2,110,15.71,20
"
Woodland",420,6,6,0,270,22.50,Edison,290,4,4,2,200,25.00,20
"
West Windsor-Plainsboro North A",370,5,6,3,250,22.73,Edgemont A,255,5,2,2,170,24.29,20
"
Greens Farms A",265,1,9,6,190,19.00,West Windsor-Plainsboro North B,180,2,5,2,110,15.71,20
"
Somers A",225,1,7,4,160,20.00,Livingston E,155,1,5,0,90,15.00,20
"
Leonia A",180,3,6,3,90,10.00,Edgemont B,125,0,5,1,80,16.00,20
"
Clarke",225,1,7,0,140,17.50,Somers B,205,2,6,1,120,15.00,20
"
Hastings",185,1,7,0,100,12.50,Livingston F,165,2,4,1,100,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilton",595,5,12,0,400,23.53,Edgemont A,65,1,2,2,40,13.33,20
"
Staples",445,6,8,3,290,20.71,Scarsdale A,85,1,2,2,60,20.00,20
"
King School Stamford A",455,2,13,1,300,20.00,Somers A,125,1,3,2,90,22.50,20
"
Livingston A",560,10,4,0,370,26.43,Woodland,235,4,2,1,160,26.67,20
"
Scarsdale B",290,0,12,2,180,15.00,Hastings,70,0,3,0,40,13.33,20
"
Darien B",420,5,8,3,280,21.54,Edison,220,2,5,2,150,21.43,20
"
Ridgewood A",320,3,8,5,220,20.00,Livingston D,125,0,5,1,80,16.00,20
"
Livingston C",285,2,9,5,190,17.27,North Babylon B,105,1,3,0,60,15.00,20
"
Bronx Science",400,3,8,3,290,26.36,Livingston B,235,3,4,0,150,21.43,20
"
Ridgewood B",275,3,6,6,200,22.22,Livingston E,155,1,7,0,70,8.75,20
"
Leonia A",210,1,8,3,130,14.44,Clarke,90,1,4,1,40,8.00,20
"
Somers B",245,0,9,3,170,18.89,West Windsor-Plainsboro North B,160,0,5,0,110,22.00,20
"
Horace Greeley A",285,3,7,2,180,18.00,North Babylon A,200,0,8,2,130,16.25,20
"
West Windsor-Plainsboro North A",320,6,4,2,200,20.00,Darien A,285,4,5,3,190,21.11,20
"
Horace Greeley B",170,0,9,0,80,8.89,Leonia B,135,0,7,1,70,10.00,20
"
Edgemont B",240,3,5,1,150,18.75,Greens Farms A,210,1,8,3,130,14.44,20
"
Darien C",225,1,8,0,130,14.44,Ardsley,215,0,8,1,140,17.50,20
"
King School Stamford B",180,0,8,6,130,16.25,Livingston F,175,1,8,2,90,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",160,4,0,2,110,27.50,Wilton,145,2,3,1,90,18.00,10
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",400,6,6,0,250,20.83,Livingston A,295,5,3,4,210,26.25,20
