Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hinsdale Central A",370,3,11,1,220,15.71,Beavercreek,135,3,2,4,90,18.00,21
"
Harker",360,2,9,2,250,22.73,Richard Montgomery B,125,3,3,2,60,10.00,19
"
Orange County",320,1,12,1,190,14.62,Catholic A,85,1,4,2,40,8.00,19
"
Cedar Crest",350,3,10,3,220,16.92,Mason,115,0,5,5,90,18.00,20
"
Cinco Ranch C",240,0,12,4,140,11.67,East Hamilton,10,0,1,2,10,10.00,24
"
LASA",365,2,10,3,250,20.83,Aiken,135,1,6,2,70,10.00,21
"
Copley A",400,4,9,2,260,20.00,Lee's Summit,170,2,4,0,100,16.67,21
"
Raleigh Charter",345,2,10,1,220,18.33,duPont Manual,140,1,4,1,90,18.00,18
"
Copley B",265,1,11,4,160,13.33,Rock Bridge B,70,0,4,2,40,10.00,20
"
Manheim Township B",260,1,9,3,170,17.00,North Kansas City,65,1,3,2,30,7.50,22
"
Westminster",250,2,8,6,170,17.00,Riverside,65,0,4,1,30,7.50,21
"
Bloomington",325,4,9,3,190,14.62,Thomas Jefferson Classical (NC),140,2,4,0,70,11.67,21
"
St. Joseph Central (St. Joseph, MO)",270,1,11,3,160,13.33,Western Dubuque,85,1,4,0,30,6.00,19
"
Dunbar B",240,0,10,0,140,14.00,Cloverleaf,60,0,4,2,30,7.50,19
"
East Chapel Hill",415,6,8,1,250,17.86,Strake Jesuit A,240,5,3,3,150,18.75,23
"
Cinco Ranch B",270,3,8,3,160,14.55,Manheim Township A,95,0,5,1,50,10.00,20
"
Del Norte",315,3,9,2,190,15.83,Burlington,145,2,4,1,80,13.33,19
"
Morgantown B",275,1,10,0,160,14.55,Elkhorn South,110,0,6,4,70,11.67,22
"
Carmel B",270,5,6,3,150,13.64,McLean B,110,0,5,2,70,14.00,20
"
Strake Jesuit B",270,2,10,0,140,11.67,Morris A,115,0,5,1,70,14.00,20
"
Leland",270,6,4,2,150,15.00,Hoover B,115,0,7,3,60,8.57,23
"
Greenhill A (TX)",245,2,8,1,140,14.00,Massey Hill Classical,95,0,5,3,60,12.00,16
"
DeLaSalle",245,2,9,3,140,12.73,DeWitt,95,2,3,1,40,8.00,22
"
Hopkins",280,2,8,2,180,18.00,Hallsville,135,1,5,0,70,11.67,19
"
St. Pius X",175,2,5,1,100,14.29,Irvin,35,0,3,1,10,3.33,19
"
Montgomery Blair",365,6,6,3,230,19.17,Solon A,225,3,5,2,140,17.50,20
"
High Tech",285,1,11,6,190,15.83,Norfolk Academic Guild,150,0,7,0,80,11.43,22
"
Gate City",205,1,8,0,110,12.22,Burnsville,80,0,4,4,60,15.00,22
"
Southside (SC)",195,1,9,2,100,10.00,Sylvania Northview (OH),80,1,4,1,30,6.00,18
"
Cinco Ranch A",355,5,6,2,230,20.91,Caddo Magnet A,240,4,5,4,150,16.67,22
"
Hunter B",180,1,7,3,110,13.75,Ysleta,70,0,4,0,30,7.50,19
"
Santa Monica",290,0,11,0,180,16.36,Centennial A,185,2,6,3,110,13.75,20
"
Trinity",245,2,7,1,150,16.67,Carbondale,140,0,6,2,90,15.00,20
"
Eastlake",135,0,8,1,60,7.50,Jackson Academy,35,0,3,1,10,3.33,23
"
Caddo Magnet B",260,2,9,2,150,13.64,Westview,160,0,6,4,120,20.00,20
"
Winston Churchill B",225,0,9,1,140,15.56,Wade Hampton,130,1,6,5,80,11.43,20
"
Hudson",155,0,8,1,80,10.00,Park Tudor,60,0,4,2,30,7.50,17
"
Detroit Country Day C",175,1,7,2,100,12.50,Providence Day,85,1,5,4,40,6.67,19
"
Northmont",200,0,9,2,120,13.33,Carnegie Vanguard,110,0,6,2,60,10.00,18
"
Faith Lutheran",200,1,7,1,120,15.00,Canyon Crest B,115,1,5,4,70,11.67,22
"
Westside",185,1,8,2,100,11.11,Simon Kenton,110,0,7,2,50,7.14,22
"
Winston Churchill A",275,2,9,5,180,16.36,Barrington C,200,3,6,3,110,12.22,23
