Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Texas B",245,0,10,1,150,15.00,Northwestern B,95,0,5,1,50,10.00,22
"
MIT A",255,0,11,1,150,13.64,Penn State,110,0,6,2,60,10.00,20
"
Rutgers",240,1,10,3,140,12.73,Iowa,115,1,4,0,60,12.00,21
"
Harvard A",285,1,10,2,180,16.36,Georgia Tech,185,1,7,4,120,15.00,24
"
UC Berkeley A",255,1,9,2,160,16.00,Chicago C,160,0,8,2,90,11.25,22
"
British Columbia",205,0,9,1,120,13.33,Northwestern A,170,0,8,6,120,15.00,23
"
Indiana",190,1,8,3,110,12.22,Columbia B,155,0,8,3,90,11.25,21
"
Illinois",270,1,10,1,160,14.55,Yale A,250,2,8,4,160,16.00,26
"
Kenyon",200,0,9,2,120,13.33,McGill A,190,0,10,2,100,10.00,25
"
Chicago A",270,2,9,2,160,14.55,Ohio State,265,2,8,1,160,16.00,24
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Texas B",300,0,14,0,160,11.43,Iowa,85,0,4,1,50,12.50,20
"
Stanford A",380,6,6,2,240,20.00,Vanderbilt A,215,0,9,5,150,16.67,24
"
MIT A",260,1,10,3,160,14.55,Indiana,120,0,6,0,60,10.00,20
"
Harvard A",310,2,10,4,200,16.67,Chicago A,205,1,7,2,130,16.25,22
"
South Carolina",230,1,9,1,130,13.00,Kenyon,135,0,6,1,80,13.33,20
"
Yale A",245,0,10,3,160,16.00,Chicago C,155,0,6,1,100,16.67,21
"
Rutgers",210,0,11,2,110,10.00,Northwestern B,135,0,7,3,80,11.43,22
"
Texas A",355,4,8,1,220,18.33,WUSTL A,285,2,9,3,180,16.36,23
"
Ohio State",270,2,9,4,170,15.45,Georgia Tech,200,2,7,2,110,12.22,24
"
Cornell A",265,2,9,5,170,15.45,Brown A,205,3,5,2,120,15.00,23
"
Florida",310,3,9,1,180,15.00,British Columbia,255,2,8,1,150,15.00,23
"
Northwestern A",235,3,7,4,140,14.00,Columbia A,200,3,6,3,110,12.22,22
"
Maryland",235,0,10,3,150,15.00,Chicago B,210,3,5,3,130,16.25,22
"
Penn State",235,2,7,3,150,16.67,Columbia B,210,1,8,1,120,13.33,21
"
UC Berkeley A",210,1,8,3,130,14.44,Illinois,200,1,7,3,130,16.25,21
"
Kentucky A",175,1,7,0,90,11.25,McGill A,165,0,8,1,90,11.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Stanford A",580,8,9,2,380,22.35,Texas A,165,2,4,3,110,18.33,23
"
Harvard A",480,5,10,1,310,20.67,Ohio State,235,4,4,3,150,18.75,24
"
Iowa",210,0,11,2,110,10.00,Northwestern B,55,0,4,1,20,5.00,24
"
Illinois",290,1,12,1,160,12.31,Chicago C,140,0,6,0,80,13.33,21
"
Chicago A",345,1,13,2,210,15.00,Georgia Tech,220,2,6,2,140,17.50,24
"
Northwestern A",335,1,12,0,200,15.38,Florida,215,4,4,3,130,16.25,23
"
WUSTL A",380,8,5,2,220,16.92,Vanderbilt A,270,1,9,1,170,17.00,24
"
Cornell A",350,6,6,2,210,17.50,Maryland,275,0,11,1,170,15.45,24
"
Penn State",255,3,7,2,150,15.00,Indiana,190,1,8,3,110,12.22,22
"
Chicago B",305,4,7,3,190,17.27,Brown A,255,2,7,1,160,17.78,22
"
Yale A",260,1,8,3,180,20.00,UC Berkeley A,225,3,7,2,120,12.00,22
"
Kenyon",245,1,9,0,140,14.00,Kentucky A,215,1,8,2,130,14.44,24
"
British Columbia",245,3,7,2,140,14.00,Columbia A,225,4,4,5,150,18.75,23
"
MIT A",215,1,9,0,110,11.00,Columbia B,205,1,7,2,130,16.25,20
"
Rutgers",225,1,8,4,150,16.67,Texas B,215,1,8,0,120,13.33,22
"
South Carolina",130,0,8,2,60,7.50,McGill A,120,0,6,4,80,13.33,19
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
WUSTL A",400,6,9,6,250,16.67,Georgia Tech,165,1,5,2,110,18.33,24
"
Yale A",310,3,7,3,210,21.00,Columbia B,170,1,7,3,100,12.50,22
"
Illinois",300,2,11,2,170,13.08,Indiana,170,3,4,3,100,14.29,21
"
Texas A",360,4,9,4,230,17.69,Ohio State,235,4,5,5,150,16.67,24
"
Chicago B",295,0,12,1,180,15.00,Columbia A,185,0,8,3,120,15.00,20
"
British Columbia",315,3,9,2,190,15.83,Brown A,215,1,8,4,140,15.56,23
"
UC Berkeley A",260,0,11,4,170,15.45,MIT A,165,2,5,3,100,14.29,22
"
Kenyon",200,0,8,2,130,16.25,Iowa,140,0,7,2,80,11.43,22
"
Maryland",275,2,8,3,180,18.00,Northwestern A,220,2,8,4,130,13.00,21
"
Rutgers",220,3,7,3,120,12.00,McGill A,165,2,5,1,90,12.86,22
"
South Carolina",195,0,9,1,110,12.22,Texas B,150,0,7,2,90,12.86,23
"
Harvard A",335,4,8,3,210,17.50,Stanford A,300,3,7,1,190,19.00,24
"
Penn State",205,1,9,2,110,11.00,Chicago C,190,0,8,0,110,13.75,21
"
Kentucky A",200,0,9,0,110,12.22,Northwestern B,185,0,7,3,130,18.57,21
"
Chicago A",305,4,8,1,170,14.17,Vanderbilt A,300,5,5,3,190,19.00,23
"
Cornell A",290,5,6,1,160,14.55,Florida,285,4,6,5,190,19.00,24
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Georgia Tech",410,0,15,2,270,18.00,Vanderbilt A,65,1,3,6,50,12.50,22
"
Cornell A",430,3,11,1,280,20.00,Northwestern A,225,4,5,1,120,13.33,23
"
Chicago A",365,3,11,2,220,15.71,WUSTL A,180,0,7,6,140,20.00,23
"
Rutgers",240,1,11,3,130,10.83,South Carolina,55,0,3,1,30,10.00,21
"
Maryland",290,4,8,2,160,13.33,Florida,120,0,7,6,80,11.43,23
"
Brown A",355,3,10,4,230,17.69,Columbia A,225,1,8,0,130,14.44,23
"
Kentucky A",200,1,9,3,110,11.00,Iowa,70,0,5,4,40,8.00,21
"
Kenyon",220,0,11,2,120,10.91,Northwestern B,95,0,5,1,50,10.00,19
"
UC Berkeley A",285,2,9,1,170,15.45,Columbia B,185,0,7,1,120,17.14,22
"
McGill A",250,2,10,2,130,10.83,Texas B,160,0,7,0,90,12.86,21
"
Yale A",305,0,13,3,190,14.62,MIT A,220,1,7,1,140,17.50,22
"
British Columbia",245,2,9,1,130,11.82,Chicago B,185,0,8,3,120,15.00,19
"
Chicago C",230,1,10,1,120,10.91,Indiana,175,1,7,2,100,12.50,21
"
Stanford A",330,2,9,2,220,20.00,Ohio State,305,2,10,3,190,15.83,23
"
Penn State",225,0,10,1,130,13.00,Illinois,200,1,8,3,120,13.33,20
"
Texas A",290,0,13,2,170,13.08,Harvard A,280,2,9,4,180,16.36,25
