Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
IMSA C",225,1,9,100,10.00,20,18.2%,Elgin Academy B,110,0,5,40,8.00,20
"
Barrington C",210,0,7,90,12.86,50,33.3%,Barrington D,110,2,4,30,5.00,10
"
Winnebago A",185,1,5,60,10.00,60,60.0%,IMSA D,100,0,5,50,10.00,0
"
Glenbard North C",170,0,8,70,8.75,20,16.7%,Keith Country Day B,90,0,5,30,6.00,10
"
Glenbard North B",190,0,9,80,8.89,20,18.2%,Winnebago B,140,0,5,40,8.00,50
"
Glenbard North A",295,3,7,170,17.00,10,8.3%,Adlai E. Stevenson C,245,1,6,90,12.86,80
"
Adlai E. Stevenson D",170,0,6,80,13.33,30,16.7%,United Township B,145,1,7,60,7.50,0
"
Keith Country Day A",215,1,7,100,12.50,30,27.3%,United Township A,210,2,5,100,14.29,30
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Barrington B",455,3,11,280,20.00,20,33.3%,Rockford Auburn C,145,1,3,60,15.00,40
"
Adlai E. Stevenson B",435,5,7,250,20.83,40,36.4%,Belvidere North,175,3,3,70,11.67,30
"
Glenbard North B",285,1,11,140,11.67,20,40.0%,Keith Country Day B,60,0,2,10,5.00,30
"
IMSA D",285,1,10,140,12.73,30,42.9%,Keith Country Day A,120,2,2,50,12.50,20
"
Elgin Academy B",230,2,7,110,12.22,20,20.0%,Byron,70,0,4,20,5.00,10
"
Elgin Academy A",375,3,6,200,22.22,70,58.3%,Winnebago A,230,2,6,120,15.00,20
"
Winnebago B",225,1,9,110,11.00,10,16.7%,United Township B,80,0,3,30,10.00,20
"
Marian Central Catholic",300,6,4,160,16.00,10,9.1%,United Township A,160,0,6,70,11.67,30
"
IMSA B",325,3,8,170,15.45,30,30.0%,Adlai E. Stevenson C,185,3,3,80,13.33,30
"
Barrington A",435,7,4,250,22.73,40,57.1%,IMSA A,345,5,4,200,22.22,30
"
Moline",270,4,6,140,14.00,10,25.0%,Barrington D,190,2,3,110,22.00,20
"
Adlai E. Stevenson A",420,8,2,230,23.00,50,50.0%,Rockford Auburn A,365,5,5,200,20.00,40
"
Rockford Auburn B",280,2,8,150,15.00,20,16.7%,Glenbard North A,230,2,6,120,15.00,20
"
Glenbard North C",180,0,7,90,12.86,20,12.5%,Adlai E. Stevenson D,135,1,6,50,7.14,10
"
IMSA C",255,1,9,100,10.00,50,35.7%,Barrington C,210,0,8,100,12.50,30
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
IMSA A",635,11,6,410,24.12,0,0.0%,Adlai E. Stevenson C,80,0,2,30,15.00,30
"
Barrington A",605,13,2,370,24.67,20,50.0%,Rockford Auburn B,180,0,5,110,22.00,20
"
Adlai E. Stevenson A",545,9,5,330,23.57,30,50.0%,Adlai E. Stevenson B,195,3,2,90,18.00,40
"
Moline",290,2,9,130,11.82,40,66.7%,Elgin Academy B,80,0,3,30,10.00,20
"
IMSA C",325,3,10,180,13.85,0,0.0%,Barrington D,120,0,3,40,13.33,50
"
Glenbard North B",270,2,11,100,7.69,30,37.5%,United Township B,80,0,4,40,10.00,0
"
IMSA B",395,5,4,210,23.33,70,46.7%,Glenbard North A,260,0,10,150,15.00,10
"
Belvidere North",350,6,6,190,15.83,10,11.1%,Rockford Auburn C,240,0,7,120,17.14,50
