Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ridgewood A",580,5,13,1,380,21.11,High Tech B,55,1,1,0,30,15.00,20
"
John P. Stevens A",520,2,16,2,340,18.89,Adirondack Central,40,0,2,0,20,10.00,20
"
Edison A",475,2,14,1,310,19.38,Livingston B,85,1,2,0,50,16.67,20
"
Belmont A",525,10,5,1,330,22.00,Hunter C,145,1,4,4,110,22.00,20
"
Cooperstown A",380,1,13,1,240,17.14,Advanced Math & Science B,95,0,4,1,60,15.00,20
"
Moravian Academy A",405,1,12,0,270,20.77,Belmont B,180,1,6,1,110,15.71,20
"
West Windsor-Plainsboro North A",325,0,14,1,190,13.57,Plymouth,115,0,5,1,70,14.00,20
"
Hunter A",440,6,6,2,300,25.00,High Tech A,265,5,3,4,180,22.50,20
"
Livingston A",355,3,7,4,260,26.00,Hempfield,225,4,4,3,140,17.50,20
"
Moravian Academy B",245,1,11,2,130,10.83,West Windsor-Plainsboro North C,115,0,7,1,50,7.14,20
"
John P. Stevens C",235,1,10,2,130,11.82,Wallenpaupack,110,0,5,2,70,14.00,20
"
Bishop Ludden B",230,0,10,0,130,13.00,Hunter D,120,0,7,2,60,8.57,20
"
Advanced Math & Science A",325,3,8,0,200,18.18,Marlboro,245,5,4,2,140,15.56,20
"
West Windsor-Plainsboro North B",215,0,9,1,130,14.44,Edison B,165,0,8,1,90,11.25,20
"
Cooperstown B",210,0,9,4,140,15.56,Edison C,165,0,8,3,100,12.50,20
"
Bishop Ludden A",275,0,12,1,160,13.33,John P. Stevens B,245,1,7,2,170,21.25,20
"
Hunter B",380,6,4,0,250,25.00,Phillips Exeter,360,7,3,1,230,23.00,20
"
High Tech C",235,1,9,0,130,13.00,Ridgewood B,225,1,8,4,150,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
High Tech A",655,12,6,1,420,23.33,High Tech B,25,0,1,1,20,20.00,20
"
Hunter B",595,9,8,2,390,22.94,Adirondack Central,55,0,2,1,40,20.00,20
"
Marlboro",500,5,9,1,340,24.29,Livingston B,115,1,3,0,70,17.50,20
"
Cooperstown A",435,0,15,1,290,19.33,Bishop Ludden B,60,0,3,4,50,16.67,20
"
Ridgewood A",490,6,8,2,330,23.57,Hunter C,155,2,3,1,100,20.00,20
"
Belmont B",400,0,14,0,260,18.57,Wallenpaupack,95,1,4,2,50,10.00,20
"
Moravian Academy A",395,6,5,1,260,23.64,Plymouth,155,1,5,0,90,15.00,20
"
Bishop Ludden A",395,4,9,1,250,19.23,Edison A,205,3,3,2,140,23.33,20
"
West Windsor-Plainsboro North A",265,0,11,1,160,14.55,John P. Stevens C,155,1,6,0,80,11.43,20
"
Advanced Math & Science B",245,0,10,1,150,15.00,High Tech C,135,0,6,1,80,13.33,20
"
John P. Stevens A",375,5,6,2,250,22.73,Hempfield,275,2,6,1,190,23.75,20
"
Phillips Exeter",415,9,2,4,280,25.45,Livingston A,320,6,3,0,200,22.22,20
"
Ridgewood B",270,1,10,3,170,15.45,Hunter D,180,3,4,3,110,15.71,20
"
West Windsor-Plainsboro North B",220,4,5,4,130,14.44,Cooperstown B,145,1,6,2,80,11.43,20
"
Edison C",215,1,9,0,110,11.00,West Windsor-Plainsboro North C,150,0,7,0,80,11.43,20
"
Hunter A",345,9,1,6,230,23.00,Belmont A,295,3,6,0,190,21.11,20
