Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
North Gwinnett",290,3,7,1,180,18.00,McLean B,165,0,9,1,80,8.89,22
"
Wayzata C",185,0,8,1,110,13.75,Edgewood,65,1,3,2,30,7.50,18
"
Centennial A",290,3,8,5,190,17.27,Johns Creek B,175,2,5,1,100,14.29,22
"
Weston",225,3,5,0,130,16.25,Southside B,110,0,7,2,50,7.14,17
"
Macomb",230,1,9,1,130,13.00,Emmaus,115,3,3,2,50,8.33,24
"
Vista Del Lago B",205,1,9,2,110,11.00,Dutch Fork B,95,0,4,1,60,15.00,19
"
Myers Park",190,1,8,1,100,11.11,Vista Del Lago A,85,1,5,8,60,10.00,20
"
John Adams A",175,0,8,1,100,12.50,Wayzata F,75,1,4,2,30,6.00,20
"
North Kansas City",190,2,7,0,90,10.00,Benet Academy,100,0,5,0,50,10.00,16
"
Mandarin",185,1,8,2,100,11.11,Oswego East,95,0,6,3,50,8.33,19
"
BASIS McLean",180,2,7,2,90,10.00,Loyola Academy,95,1,3,0,50,12.50,19
"
Okemos",310,2,8,2,210,21.00,Darien A,230,5,5,5,130,13.00,21
"
Carbondale",275,4,6,1,160,16.00,St. Louis Park,195,4,4,3,110,13.75,22
"
Hewitt-Trussville",175,1,6,0,100,14.29,Silver Spring Scholars B,105,0,6,5,70,11.67,20
"
Johns Creek C",125,0,6,1,70,11.67,St. Vincent-St. Mary,55,0,5,5,30,6.00,22
"
Solon A",295,4,6,1,180,18.00,Staples,230,4,4,4,150,18.75,20
"
McLean A",360,3,9,1,230,19.17,Glasgow,300,4,5,2,200,22.22,22
"
DeLaSalle",140,1,6,3,80,11.43,St. Joseph Central B,90,0,6,0,30,5.00,20
"
Providence",180,2,6,2,100,12.50,Mounds Park,135,3,4,2,60,8.57,19
"
Catholic",220,3,7,1,110,11.00,Cinco Ranch B,180,2,5,2,110,15.71,21
"
Chamblee Charter",200,2,5,0,120,17.14,Harker B,165,1,6,4,110,15.71,19
"
Livingston",175,2,6,3,100,12.50,Great Valley B,140,0,8,4,80,10.00,21
"
Cistercian A",235,4,7,3,120,10.91,Dunbar A,200,0,7,0,130,18.57,20
"
Western Dubuque",110,0,5,2,70,14.00,Holton,75,1,5,0,10,1.67,21
"
Friends Select B",180,2,7,0,80,8.89,Eastlake,145,1,6,2,80,11.43,23
"
Berwick",140,0,7,2,80,11.43,Wade Hampton,105,1,5,6,70,11.67,22
"
Dutch Fork A",185,1,7,0,100,12.50,Johns Creek A,155,2,5,5,100,14.29,18
"
Wissahickon",210,1,7,1,130,16.25,Westminster B,185,2,5,3,120,17.14,20
"
Maine East",230,1,8,1,140,15.56,Thomas Jefferson Classical,210,0,8,4,150,18.75,23
"
Thales Academy-Rolesville",140,0,7,0,70,10.00,Farmington Hills Mercy,130,0,8,0,50,6.25,21
"
Cistercian B",155,2,6,3,80,10.00,East Grand Rapids,145,0,7,1,80,11.43,25
"
Friends Select A",160,0,8,2,90,11.25,Wayzata G,150,3,4,1,70,10.00,19
"
Greenhill",325,6,3,3,220,24.44,Silver Spring Scholars A,320,4,8,4,200,16.67,22
"
Troy (Fullerton, CA) (OT)",70,0,6,4,30,6.00,Wayzata D,65,1,4,6,40,10.00,23
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Saratoga",490,6,11,2,300,17.65,Central Hardin,45,0,3,1,20,6.67,22
"
Thomas Jefferson Classical",340,1,14,1,190,12.67,Grand Junction A,-5,0,0,1,0,0.00,21
"
Dunbar A",365,4,9,1,220,16.92,Great Valley B,40,1,2,5,30,10.00,18
"
Benet Academy",325,2,13,1,170,11.33,"Troy (Fullerton, CA)",25,0,2,1,10,5.00,22
"
Johns Creek A",340,2,10,2,220,18.33,Friends Select A,85,1,3,4,60,15.00,19
"
Harker B",280,2,11,4,160,12.31,Cistercian B,60,0,4,2,30,7.50,20
"
Beavercreek",375,5,9,2,220,15.71,White Station A,160,2,4,6,120,20.00,20
"
Greenhill",415,5,7,0,270,22.50,Manheim Township A,200,4,4,2,110,13.75,20
"
Vista Del Lago A",300,1,10,1,190,17.27,Johns Creek C,85,1,4,0,30,6.00,17
"
Southside A",305,2,10,3,190,15.83,Wissahickon,110,2,3,2,60,12.00,20
"
Wilton",260,0,12,4,160,13.33,Macomb,65,0,4,1,30,7.50,19
"
Lambert",435,8,4,9,320,26.67,Okemos,245,0,9,3,170,18.89,22
"
McLean B",320,3,8,1,200,18.18,DeLaSalle,130,0,6,2,80,13.33,20
"
East Grand Rapids",210,0,11,4,120,10.91,Arab,35,0,4,3,10,2.50,21
"
Strake Jesuit B",290,4,6,4,190,19.00,North Kansas City,125,1,6,0,50,7.14,19
"
Canyon Crest B",235,1,8,4,160,17.78,Thales Academy-Rolesville,70,0,4,0,30,7.50,19
"
Sparkman",250,1,10,1,140,12.73,Detroit Country Day B,90,0,5,2,50,10.00,18
"
Manheim Township B",200,0,9,0,110,12.22,Ysleta,40,0,3,0,10,3.33,16
"
Raleigh Charter",300,2,10,2,180,15.00,Hewitt-Trussville,145,2,5,1,70,10.00,20
"
Wando A",315,3,8,2,200,18.18,Hopkins,160,2,5,4,100,14.29,21
"
Grand Junction B",210,0,11,2,110,10.00,Western Dubuque,55,1,2,4,40,13.33,19
"
Glasgow",315,3,8,0,190,17.27,Champlain Valley,165,1,6,2,100,14.29,20
"
Decatur",270,4,6,4,170,17.00,Cistercian C,125,1,5,2,70,11.67,21
"
Westminster A",280,3,8,3,170,15.45,Eden Prairie A,145,1,5,4,100,16.67,19
"
Northfield",220,3,8,1,100,9.09,Silver Spring Scholars B,90,2,3,4,50,10.00,19
"
Mira Loma",370,6,6,4,240,20.00,Detroit Country Day A,245,4,5,3,150,16.67,21
"
South Burlington",235,3,7,2,130,13.00,BASIS McLean,110,0,5,4,80,16.00,19
"
Richard Montgomery A",420,3,10,3,290,22.31,Wayzata A,300,6,4,6,200,20.00,23
"
Livingston",350,5,6,1,220,20.00,Ithaca,230,1,7,3,160,20.00,20
"
James E. Taylor",260,3,6,1,160,17.78,Dutch Fork A,140,1,5,1,80,13.33,15
